Date,BUGZ,BURZ,CABN,CABZ,CRWZ,DONZ,FNGZ,GRNZ,PI2Z,PIEZ,PPOE,PPON,PPOZ,QADZ,UBOZ,Station Count
1991-06-28,False,False,False,1.0,False,1.0,1.0,False,1.0,False,False,False,False,1.0,False,5.0
1991-06-29,False,False,False,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,6.0
1991-06-30,False,False,False,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,6.0
1991-07-01,False,False,False,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,6.0
1991-07-02,1.0,False,False,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-03,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-04,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-05,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-06,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-07,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-08,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-09,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-10,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-11,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-12,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-13,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-14,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-15,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-16,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-17,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-18,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-19,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-20,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-21,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-22,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-23,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-24,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-07-25,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-26,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-27,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-28,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-29,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-30,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-07-31,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-01,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-02,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-03,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-04,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-05,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-06,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-07,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-08,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-09,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-10,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-11,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-12,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-13,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-14,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-15,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-16,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-17,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-18,1.0,False,1.0,1.0,1.0,False,False,False,1.0,False,False,False,False,1.0,False,6.0
1991-08-19,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-20,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-21,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-22,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-23,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-24,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-25,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-26,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-27,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-28,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-29,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-08-30,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-08-31,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-01,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-02,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-03,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-04,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-05,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-06,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-07,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-08,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-09,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-10,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
